id,name,department_id
1,BAGUA,1
2,BONGARA,1
3,CHACHAPOYAS,1
4,CONDORCANQUI,1
5,LUYA,1
6,RODRIGUEZ DE MENDOZA,1
7,UTCUBAMBA,1
8,AIJA,2
9,ANTONIO RAIMONDI,2
10,ASUNCION,2
11,BOLOGNESI,2
12,CARHUAZ,2
13,CARLOS FERMIN FITZCARRALD,2
14,CASMA,2
15,CORONGO,2
16,HUARAZ,2
17,HUARI,2
18,HUARMEY,2
19,HUAYLAS,2
20,MARISCAL LUZURIAGA,2
21,OCROS,2
22,PALLASCA,2
23,POMABAMBA,2
24,RECUAY,2
25,SANTA,2
26,SIHUAS,2
27,YUNGAY,2
28,ABANCAY,3
29,ANDAHUAYLAS,3
30,ANTABAMBA,3
31,AYMARAES,3
32,CHINCHEROS,3
33,COTABAMBAS,3
34,GRAU,3
35,AREQUIPA,4
36,CAMANA,4
37,CARAVELI,4
38,CASTILLA,4
39,CAYLLOMA,4
40,CONDESUYOS,4
41,ISLAY,4
42,LA UNION,4
43,CANGALLO,5
44,HUAMANGA,5
45,HUANCA SANCOS,5
46,HUANTA,5
47,LA MAR,5
48,LUCANAS,5
49,PARINACOCHAS,5
50,PAUCAR DEL SARA SARA,5
51,SUCRE,5
52,VICTOR FAJARDO,5
53,VILCAS HUAMAN,5
54,CAJABAMBA,6
55,CAJAMARCA,6
56,CELENDIN,6
57,CHOTA,6
58,CONTUMAZA,6
59,CUTERVO,6
60,HUALGAYOC,6
61,JAEN,6
62,SAN IGNACIO,6
63,SAN MARCOS,6
64,SAN MIGUEL,6
65,SAN PABLO,6
66,SANTA CRUZ,6
67,CALLAO,7
68,ACOMAYO,8
69,ANTA,8
70,CALCA,8
71,CANAS,8
72,CANCHIS,8
73,CHUMBIVILCAS,8
74,CUSCO,8
75,ESPINAR,8
76,LA CONVENCION,8
77,PARURO,8
78,PAUCARTAMBO,8
79,QUISPICANCHI,8
80,URUBAMBA,8
81,ACOBAMBA,9
82,ANGARAES,9
83,CASTROVIRREYNA,9
84,CHURCAMPA,9
85,HUANCAVELICA,9
86,HUAYTARA,9
87,TAYACAJA,9
88,AMBO,10
89,DOS DE MAYO,10
90,HUACAYBAMBA,10
91,HUAMALIES,10
92,HUANUCO,10
93,LAURICOCHA,10
94,LEONCIO PRADO,10
95,MARAÑON,10
96,PACHITEA,10
97,PUERTO INCA,10
98,YAROWILCA,10
99,CHINCHA,11
100,ICA,11
101,NAZCA,11
102,PALPA,11
103,PISCO,11
104,CHANCHAMAYO,12
105,CHUPACA,12
106,CONCEPCION,12
107,HUANCAYO,12
108,JAUJA,12
109,JUNIN,12
110,SATIPO,12
111,TARMA,12
112,YAULI,12
113,ASCOPE,13
114,BOLIVAR,13
115,CHEPEN,13
116,GRAN CHIMU,13
117,JULCAN,13
118,OTUZCO,13
119,PACASMAYO,13
120,PATAZ,13
121,SANCHEZ CARRION,13
122,SANTIAGO DE CHUCO,13
123,TRUJILLO,13
124,VIRU,13
125,CHICLAYO,14
126,FERREÑAFE,14
127,LAMBAYEQUE,14
128,BARRANCA,15
129,CAJATAMBO,15
130,CANTA,15
131,CAÑETE,15
132,HUARAL,15
133,HUAROCHIRI,15
134,HUAURA,15
135,LIMA,15
136,OYON,15
137,YAUYOS,15
138,ALTO AMAZONAS,16
139,DATEM DEL MARAÑON,16
140,LORETO,16
141,MARISCAL RAMON CASTILLA,16
142,MAYNAS,16
143,REQUENA,16
144,UCAYALI,16
145,MANU,17
146,TAHUAMANU,17
147,TAMBOPATA,17
148,GENERAL SANCHEZ CERRO,18
149,ILO,18
150,MARISCAL NIETO,18
151,DANIEL ALCIDES CARRION,19
152,OXAPAMPA,19
153,PASCO,19
154,AYABACA,20
155,HUANCABAMBA,20
156,MORROPON,20
157,PAITA,20
158,PIURA,20
159,SECHURA,20
160,SULLANA,20
161,TALARA,20
162,AZANGARO,21
163,CARABAYA,21
164,CHUCUITO,21
165,EL COLLAO,21
166,HUANCANE,21
167,LAMPA,21
168,MELGAR,21
169,MOHO,21
170,PUNO,21
171,SAN ANTONIO DE PUTINA,21
172,SAN ROMAN,21
173,SANDIA,21
174,YUNGUYO,21
175,BELLAVISTA,22
176,EL DORADO,22
177,HUALLAGA,22
178,LAMAS,22
179,MARISCAL CACERES,22
180,MOYOBAMBA,22
181,PICOTA,22
182,RIOJA,22
183,SAN MARTIN,22
184,TOCACHE,22
185,CANDARAVE,23
186,JORGE BASADRE,23
187,TACNA,23
188,TARATA,23
189,CONTRALMIRANTE VILLAR,24
190,TUMBES,24
191,ZARUMILLA,24
192,ATALAYA,25
193,CORONEL PORTILLO,25
194,PADRE ABAD,25
195,PURUS,25
